Name,Quantity,Component
"U1",1," Arduino Uno R3"
"BAT1",1," 9V Battery"
"M1",1," DC Motor"
"T1",1," NPN Transistor (BJT)"
"PING1",1," Ultrasonic Distance Sensor"
"PIEZO1",1," Piezo"
"R1, R2, R3, R4, R5",5,"1 kΩ Resistor"
"D1",1,"Orange LED"
"D2",1,"Red LED"
"D3",1,"Yellow LED"
"D4",1,"Green LED"
